kepid,teff,teff_err,logg,logg_err,fe,fe_err,vsini,comments,binflag,rad,radep,radem,rade,dis,disep,disem,tm_designation,kepmag,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,sb2flag,visflag,astflag,parflag,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag,zpt,parallax_zpcorrected
6425358,6166.978233,100,4.257022535,0.1,0.163798341,0.06,4.818975878,fit looks good,False,1.3506985068832105,0.0540126055508407,0.0514401055610127,0.052726355555926696,281.3848528485285,0.8722647226472304,0.8691732517324908,2MASS J18595314+4150182,11.062,10.103,0.021,9.853,0.022,9.799,0.02,1636042515805110273,Gaia EDR3 2104082045701606144,2104082045701606144,1597455415,2016.0,284.9713411500211,0.009487314,41.83838969377873,0.010701224,3.5231405151890978,0.0111036915,317.29453,14.825106,-13.980444300308331,0.012315093,-4.932640061794491,0.012701024,-0.10425822,-0.0055805603,-0.09814381,-0.036573954,0.050689474,-0.04978444,-0.1338846,-0.12985818,-0.082283296,-0.04774071,399,399,391,8,-2.5143685,971.14453,0.09571128,13.959687,31,True,1.5763253,,,,,,,,45,29,0.017819416,48,19,1,0.0060071656,48.910065,0,0,0.9100478,,,,,,,,,False,378,733946.6038017289,106.15262,6914.07,11.023206,43,410512.1089827258,200.40637,2048.3984,11.305227,40,464852.53371308977,121.49124,3826.2227,10.579608,0.0,1.0,0.0,0.0,0.0,1.1926817,0.7256193,0.28202152,0.4435978,-26.075964,0.95511746,9,6000.0,4.0,-0.25,72.08340589911622,16.24356999991352,295.9771231844818,63.933610715386266,False,False,False,False,281.24722,280.5214,282.17325,281.3231,280.30807,282.21512,10033.0,-0.030801,3.5539415151890976
6438107,6084.341639,100,4.059073345,0.1,0.024582096,0.06,5.52998814,fit looks good,False,2.119492747850365,0.0863119295898946,0.0821731364803435,0.08424253303511905,471.8662676626767,2.8283202832028,2.8024560245602856,2MASS J19205352+4151338,11.094,10.279,0.022,10.026,0.019,9.973,0.019,1636042515805110273,Gaia EDR3 2101859589106729728,2101859589106729728,202072904,2016.0,290.2229776424609,0.011080772,41.85940529672038,0.012057268,2.075470325386724,0.012766301,162.57414,3.8352983,-2.573511779220895,0.014797135,2.8436858830050893,0.015105389,-0.09858314,-0.035838157,-0.019042093,-0.098128974,0.18243961,-0.09285969,-0.10156958,0.05503146,-0.017873801,-0.08499374,323,323,319,4,-3.3443472,908.38434,0.103165686,16.203634,31,False,1.5757996,,,,,,,,37,28,0.021570124,43,15,1,0.018168623,132.3574,0,0,0.86854684,,,,,,,,,False,315,609404.6585860385,121.79935,5003.349,11.225102,38,339400.2414409504,180.42592,1881.1058,11.511762,35,387586.0332520805,91.2373,4248.1094,10.776976,0.0,0.0,0.0,0.0,0.0,1.192945,0.73478603,0.28665924,0.4481268,-33.45331,1.7087754,4,6250.0,4.5,0.0,73.72481889667434,12.66950659681898,304.4168530318315,62.90286432990701,False,False,False,False,472.087,469.0108,474.7924,472.13162,469.5598,474.59818,10033.0,-0.044008,2.119478325386724
6547806,6268.673929,100,4.089352608,0.1,0.052664824,0.06,13.62657664,fit looks good,False,3.5116242961738817,0.1713516517617539,0.1625117468872821,0.166931699324518,587.439784397844,16.83254832548323,15.962258022580272,2MASS J19533857+4154257,10.645,9.632,0.021,9.383,0.021,9.317,0.019,1636042515805110273,Gaia EDR3 2075413070296591872,2075413070296591872,1205493999,2016.0,298.41068560538497,0.038598735,41.90708341448792,0.048995767,1.686672702986552,0.047887377,35.221657,16.569067,-5.3438118722822745,0.049325783,-15.68367533110482,0.060412273,-0.028147405,0.06255716,-0.09244303,-0.11232851,0.1800737,-0.14824757,-0.2923911,-0.123581044,-0.06318712,-0.085710146,353,353,353,0,43.944477,12081.753,0.52840686,401.0521,95,False,,1.5883322,0.012556183,-0.10724331,0.1407618,0.013263502,-0.04548402,-0.19844939,40,27,0.08564652,46,46,0,0.009323233,6.103101,0,0,3.068074,,,,,,,,,False,359,1059959.6030701487,211.27779,5016.9004,10.624144,41,582370.2661441707,254.57991,2287.5735,10.925544,38,684269.5002906107,193.32013,3539.5667,10.159827,0.0,0.0,0.0,0.0,0.0,1.1949887,0.76571655,0.30140018,0.46431637,-10.996827,1.9680047,5,6000.0,3.5,0.0,76.64284818984108,7.295445511852575,316.5964486561997,60.83162514915633,False,False,False,False,586.5158,574.3274,604.08606,586.5964,571.5013,603.16235,10033.0,-0.020254,1.706926702986552
6680045,6160.51107,100,4.322063899,0.1,-0.033415874,0.06,4.984389744,fit looks good,False,1.2057758744300728,0.0472579666680244,0.045017070267215,0.046137518467619695,242.629780297803,0.6879553595535981,0.6858883388834158,2MASS J19124891+4207188,10.96,9.992,0.021,9.753,0.017,9.732,0.011,1636042515805110273,Gaia EDR3 2102490536980299776,2102490536980299776,1511099095,2016.0,288.2038571706153,0.010349067,42.12186441501191,0.011051331,4.099118465352446,0.011781209,347.93698,9.876876,8.227673216338697,0.014277418,-5.464253052295286,0.015555176,-0.15778974,-0.09692454,0.045132156,-0.062240664,0.060098622,-0.055124987,-0.12298424,-0.03736807,-0.035159644,-0.22101705,390,390,382,8,-0.83346844,917.40106,0.1019341,16.048717,31,True,1.5838299,,,,,,,,44,27,0.022969231,48,17,0,0.01777157,12.609828,0,0,0.9689259,,,,,,,,,False,365,814460.530743822,103.66061,7856.9917,10.910192,43,461725.3231904602,256.6325,1799.1693,11.177583,42,509354.14007087296,150.63826,3381.3066,10.480346,0.0,1.0,0.0,0.0,0.0,1.1922977,0.697237,0.2673912,0.4298458,-16.237423,0.67225724,6,6000.0,4.5,0.0,73.32815549142614,14.143295180351654,301.39620790643494,63.59035203872788,False,False,False,False,242.77757,242.24327,243.48166,242.63611,241.98674,243.26823,10033.0,-0.022472,4.121590465352446
6689943,6069.309738,100,4.329460044,0.1,0.044575167,0.06,5.877967812,fit looks good,False,1.587422824163283,0.0646527961300769,0.0616843502926192,0.06316857321134806,213.49372593725937,1.6999849998499883,1.6777332573325625,2MASS J19252467+4207248,10.242,9.22,0.021,8.92,0.017,8.872,0.014,1636042515805110273,Gaia EDR3 2101737234079077888,2101737234079077888,973532951,2016.0,291.3528115537412,0.03150974,42.1236242367004,0.033430953,4.668718912932533,0.037406474,124.810455,16.89719,-5.305322754738866,0.04324131,16.04271166824946,0.043502208,0.011566772,-0.016115699,-0.07843836,-0.03737559,-0.0010601861,-0.03905798,-0.24360745,-0.25847676,-0.16013509,0.04652188,410,410,409,1,47.069077,9327.126,0.4413559,295.39868,31,True,1.5692629,,,,,,,,46,26,0.062441066,52,20,0,0.0014317606,61.33571,0,0,3.0505235,,,,,,,,,False,371,1569116.1642350398,274.30786,5720.274,10.198229,45,862717.5087309248,214.68008,4018.6191,10.498871,50,1015361.6439553854,175.9364,5771.1855,9.731343,0.0,0.0,0.0,0.0,0.0,1.1969025,0.7675276,0.300642,0.46688557,-22.900492,0.66541713,9,6000.0,4.0,-0.5,74.33938450213228,12.025651943034088,306.3491717905956,62.893847822405945,False,False,False,False,213.54333,211.91478,215.29314,213.34633,211.73749,215.01855,10033.0,-0.016269,4.684987912932534
6777975,6325.851371,100,4.561889972,0.1,0.046672751,0.06,12.6461089,fit looks good,False,1.181091563975473,0.0456793722907715,0.0438197271067082,0.04474954969873985,254.39621396213963,0.9132351723517332,0.9092220922209152,2MASS J19280075+4216256,11.08,10.103,0.021,9.878,0.017,9.844,0.016,1636042515805110273,Gaia EDR3 2125723041576556288,2125723041576556288,1410031747,2016.0,292.0031832654162,0.011803508,42.27368711952345,0.013135466,3.8998540458555886,0.014216512,274.3186,24.760582,1.5735019667132333,0.01658606,-24.71053428621069,0.01544351,-0.121441536,-0.07114644,-0.11719094,-0.001029192,0.2695187,-0.0053659654,-0.24834076,0.04871616,-0.18610595,-0.16727054,351,351,349,2,1.0589826,1145.1195,0.122632034,22.63762,31,True,1.5856322,,,,,,,,39,25,0.024233254,43,18,1,0.004818261,19.114115,0,0,1.039662,,,,,,,,,False,358,734977.9562662868,191.80365,3831.929,11.021681,42,416539.7976850036,280.64487,1484.2239,11.289401,42,458346.3119383409,258.67853,1771.8761,10.594912,0.0,4.0,0.0,0.0,0.0,1.190357,0.6944895,0.26772022,0.42676926,10.725041,5.7484446,8,6000.0,4.0,-0.5,74.69317057224862,11.65855004187626,307.45608015548675,62.88055834611224,False,False,False,False,254.39622,253.37053,255.15578,254.29987,253.30127,255.14146,10033.0,-0.031166,3.931020045855589
7050604,6298.876506,100,4.473138614,0.1,0.03934837,0.06,10.45021834,fit looks good,False,1.1924993947055735,0.0457976681927894,0.0436934317912123,0.04474554999200085,162.66872168721687,0.3393423934239479,0.338822388223889,2MASS J19453117+4230556,10.122,9.128,0.02,8.920999999999998,0.021,8.858,0.012,1636042515805110273,Gaia EDR3 2077179023400041600,2077179023400041600,977716964,2016.0,296.3799318856794,0.010622411,42.51548931656884,0.012018493,6.1312727979695065,0.012937955,473.89816,10.281511,7.660950782859677,0.014115493,6.857062849395919,0.015319944,-0.07784521,-0.015328861,-0.03506852,-0.07252958,0.24761128,-0.10124601,-0.036055863,-0.12834676,0.018688137,-0.10445307,337,337,333,4,-0.77040786,723.5469,0.0910041,9.96086,31,True,1.5886036,,,,,,,,38,24,0.021680715,43,16,1,0.0070285653,127.277985,0,0,0.9690661,,,,,,,,,False,335,1867468.1233138088,412.8491,4523.367,10.009233,37,1063009.768490619,417.67834,2545.044,10.272199,37,1160546.4090888384,333.5796,3479.069,9.586239,0.0,0.0,0.0,0.0,0.0,1.1906796,0.6859598,0.2629652,0.4229946,11.897946,0.45027146,5,6500.0,4.5,0.0,76.42902552276409,8.904032958669683,314.1785149371905,61.96887900061088,False,False,False,False,162.64519,162.34315,162.93333,162.71176,162.36047,163.06447,10033.0,-0.016249,6.147521797969507
7094508,6244.783062,100,4.030602298,0.1,0.192800818,0.06,6.965211724,fit looks good,False,2.336408783832848,0.0908025837437018,0.0866738223220759,0.08873820303288885,264.179871798718,0.8410324103241464,0.8379603796037713,2MASS J18512820+4241101,9.708,8.744,0.024,8.499,0.026,8.458,0.013,1636042515805110273,Gaia EDR3 2105151934934560640,2105151934934560640,299444707,2016.0,282.8675856525063,0.010226542,42.686186016329366,0.0117646,3.769118925911808,0.012144811,310.34808,12.342889,10.309730389149424,0.0139155695,6.786484554241346,0.016156998,-0.14169523,-0.17008856,-0.21430708,0.039090615,0.14291026,0.014876707,-0.25167763,0.12178066,-0.24016425,-0.15449284,340,340,335,5,0.8502447,752.96844,0.09072687,11.648059,31,False,1.5863621,,,,,,,,38,26,0.02332193,41,18,1,0.017525865,125.85586,0,0,1.0322566,,,,,,,,,False,329,2662681.3743659537,469.61847,5669.8823,9.624069,41,1515247.19393606,671.0726,2257.9482,9.887334,40,1662314.3864105004,413.5349,4019.768,9.196113,0.0,0.0,0.0,0.0,0.0,1.193369,0.69122124,0.26326466,0.42795658,-27.6911,0.50042,4,6250.0,4.5,0.0,72.31533763765194,18.0023771198233,292.8860206978794,65.10640214132738,False,False,False,False,264.43408,263.76324,265.18555,264.09528,263.1711,264.98325,10033.0,-0.016284,3.785402925911808
7206837,6429.780638,100,4.283129384,0.1,0.217246156,0.06,8.745995032,fit looks good,False,1.6093581931449186,0.0608956260305659,0.0583552903691044,0.05962545819983515,195.36675366753667,0.4620646206462311,0.4611286112861137,2MASS J19350373+4244165,9.769,8.827999999999998,0.021,8.628999999999998,0.017,8.574999999999998,0.014,1636042515805110273,Gaia EDR3 2077773790469159680,2077773790469159680,42339595,2016.0,293.7656802101311,0.010683697,42.73800341981976,0.011928763,5.102131795178997,0.012209838,417.87054,18.703003,17.88636154903191,0.013670816,5.466293787120568,0.014605869,0.05892882,0.09822383,-0.20114423,0.038215183,0.15614246,0.051823184,-0.34591213,-0.07724495,-0.08195188,-0.05434563,349,349,347,2,-0.3513686,732.1071,0.0897486,9.379368,31,False,1.5942018,,,,,,,,40,26,0.020961644,44,19,1,0.001945267,38.61051,0,0,0.9856251,,,,,,,,,False,334,2467131.5590711487,426.50082,5784.588,9.706886,40,1423127.65815444,541.73615,2626.9756,9.955433,42,1511155.2965166315,316.53375,4774.073,9.299623,0.0,0.0,0.0,0.0,0.0,1.18935,0.65581036,0.2485466,0.40726376,-10.97825,6.0835524,7,6500.0,4.0,0.25,75.71115332456783,10.706467173118128,310.48294664592134,62.87643195990447,False,False,False,False,195.509,195.0485,196.05602,195.30136,194.90982,195.79126,10033.0,-0.016514,5.118645795178997
7260381,6113.267587,100,4.352307868,0.1,0.074009977,0.06,4.24508442,fit looks good,False,1.2177825227118837,0.0488364278662636,0.046492978110296,0.047664702988279795,175.1759697596976,0.466744667446676,0.4655206552065465,2MASS J18540175+4251379,10.211,9.316,0.022,9.066,0.016,9.008,0.019,1636042515805110273,Gaia EDR3 2104979487707428096,2104979487707428096,1132892944,2016.0,283.50719834321825,0.014237125,42.86030568146341,0.014942756,5.693582477495582,0.015336321,371.24826,45.39828,-16.862087911373028,0.018312966,-42.15061173409812,0.019153295,-0.1504593,0.028171169,-0.2858555,0.07576565,0.04998872,0.06842255,-0.34296352,-0.14773306,-0.092089556,-0.10485575,340,340,338,2,6.807048,1390.9747,0.14918987,33.64555,31,True,1.5794436,,,,,,,,38,28,0.028086305,44,18,1,0.012979498,64.37487,0,0,1.2739588,,,,,,,,,False,328,1506484.3390931727,320.853,4695.248,10.2424555,40,845387.6497051591,349.97598,2415.559,10.520903,41,952622.6252583814,207.02197,4601.553,9.800593,0.0,0.0,0.0,0.0,0.0,1.1935141,0.72030926,0.27844715,0.4418621,10.091038,0.3086417,8,6250.0,4.5,0.0,72.66146695365917,17.625336813802495,294.0659440199749,65.17506472876947,False,False,False,False,175.24596,174.86621,175.75221,175.12962,174.72717,175.59827,10033.0,-0.015066,5.708648477495582
